Rank,Name,ELO,Title,FIDE_Id,Federation,Games,Birth_Year,Worth,Image
1,Magnus Carlsen,2832,GM,1503014,Norway,1820,1990,1099.74425,1503014.jpg
2,Wesley So,2815,GM,5202213,United States,788,1993,740.0200331,5202213.jpg
3,Vladimir Kramnik,2811,GM,4101588,Russia,2614,1975,1167.284991,4101588.jpg
4,Fabiano Caruana,2802,GM,2020009,United States,1622,1992,947.9873071,2020009.jpg
5,Maxime Vachier Lagrave,2795,GM,623539,France,1744,1990,950.2725105,623539.jpg
6,Levon Aronian,2789,GM,13300474,Armenia,2108,1982,997.8505047,13300474.jpg
7,Viswanathan Anand,2786,GM,5000017,India,3085,1969,1131.967762,5000017.jpg
8,Hikaru Nakamura,2786,GM,2016192,United States,2027,1987,970.3986002,2016192.jpg
9,Anish Giri,2785,GM,24116068,Netherlands,1234,1994,798.6279097,24116068.jpg
10,Sergey Karjakin,2783,GM,14109603,Russia,2044,1990,960.3731857,14109603.jpg
11,Liren Ding,2773,GM,8603677,China,777,1992,629.5186289,8603677.jpg
12,Shakhriyar Mamedyarov,2772,GM,13401319,Azerbaijan,1938,1985,904.5272579,13401319.jpg
13,Pavel Eljanov,2755,GM,14102951,Ukraine,1410,1983,756.1747754,14102951.jpg
14,Peter Svidler,2755,GM,4102142,Russia,2631,1976,952.4670663,4102142.jpg
15,Ian Nepomniachtchi,2751,GM,4168119,Russia,1230,1990,704.6399184,4168119.jpg
16,Alexander Grischuk,2750,GM,4126025,Russia,2371,1983,898.8351659,4126025.jpg
17,Penteala Harikrishna,2750,GM,5007003,India,1534,1986,762.7708522,5007003.jpg
18,Michael Adams,2747,GM,400041,United Kingdom,2758,1971,936.5057967,400041.jpg
19,Yangyi Yu,2743,GM,8603820,China,800,1994,568.8663083,8603820.jpg
20,Veselin Topalov,2741,GM,2900084,Bulgaria,2130,1975,832.63117,2900084.jpg
21,Leinier Dominguez Perez,2739,GM,3503240,Cuba,844,1983,572.617827,3503240.jpg
22,David Navara,2739,GM,309095,Czech Republic,1836,1985,779.8735369,309095.jpg
23,Vassily Ivanchuk,2738,GM,14100010,Ukraine,3515,1969,981.7455404,14100010.jpg
24,Radoslaw Wojtaszek,2734,GM,1118358,Poland,1649,1987,733.8169116,1118358.jpg
25,Yi Wei,2732,GM,8603405,China,572,1999,462.413394,8603405.jpg
26,Nikita Vitiugov,2731,GM,4152956,Russia,1316,1987,663.4348819,4152956.jpg
27,Ernesto Inarkiev,2727,GM,4162722,Russia,1350,1985,659.9676642,4162722.jpg
28,Quang Liem Le,2726,GM,12401137,Viet Nam,1083,1991,601.1666987,12401137.jpg
29,Boris Gelfand,2724,GM,2805677,Israel,2795,1968,853.7275295,2805677.jpg
30,Dmitry Andreikin,2723,GM,4158814,Russia,1099,1990,596.4421157,4158814.jpg
31,Chao b Li,2722,GM,8604436,China,691,1989,484.9670037,8604436.jpg
32,Dmitry Jakovenko,2718,GM,4122356,Russia,1512,1983,662.7529048,4122356.jpg
33,Yuriy Kryvoruchko,2714,GM,14109182,Ukraine,855,1986,517.7710063,14109182.jpg
34,Maxim Matlakov,2714,GM,4168003,Russia,1094,1991,573.1991401,4168003.jpg
